,Ticker,Date,Time,Link,Title
0,tsla,Oct-16-19,05:45PM,https://finance.yahoo.com/news/tesla-tsla-gains-market-dips-214509129.html,Tesla (TSLA) Gains As Market Dips: What You Should Know
1,tsla,Oct-16-19,04:23PM,https://finance.yahoo.com/news/evs-rescue-lessons-california-blackout-202332820.html,EVs To The Rescue: Lessons From A California Blackout
2,tsla,Oct-16-19,03:53PM,https://finance.yahoo.com/news/volvo-vows-cut-carbon-footprint-110000500.html,Volvo Foots Bill for Battery Charges in Bid to Curb Emissions
3,tsla,Oct-16-19,02:42PM,https://www.investors.com/research/gm-stock-buy-now/?src=A00220&yptr=yahoo,"Is GM Stock A Buy Now? General Motors Earnings, Chart Say This"
4,tsla,Oct-16-19,02:04PM,https://www.bizjournals.com/losangeles/news/2019/10/16/elon-musk-roundup-spacex-files-to-launch-30-000.html?ana=yahoo&yptr=yahoo,"Elon Musk roundup: SpaceX files to launch 30,000 more satellites"
5,tsla,Oct-16-19,01:50PM,https://www.barrons.com/articles/tesla-stock-gains-for-eighth-day-after-market-overreacts-to-deliveries-51571248207?siteid=yhoof2&yptr=yahoo,Tesla Stock Is on a Tear. Apparently the Market Overreacted to Deliveries.
6,tsla,Oct-16-19,01:38PM,https://finance.yahoo.com/news/1-france-germany-sign-deals-173830754.html,UPDATE 1-France and Germany sign deals on space and arms exports
7,tsla,Oct-16-19,12:51PM,https://www.marketwatch.com/story/tesla-stock-set-for-highest-close-in-more-than-2-months-2019-10-16?siteid=yhoof2&yptr=yahoo,Tesla stock set for highest close in more than 2 months
8,tsla,Oct-16-19,12:19PM,https://finance.yahoo.com/news/france-germany-sign-deal-space-161958323.html,France and Germany sign deal on space and arms control
9,tsla,Oct-16-19,10:33AM,https://finance.yahoo.com/news/tesla-tsla-expected-beat-earnings-143302618.html,Tesla (TSLA) Expected to Beat Earnings Estimates: Can the Stock Move Higher?
10,tsla,Oct-16-19,10:25AM,https://www.barrons.com/articles/telsa-earnings-report-cash-flow-51571174430?siteid=yhoof2&yptr=yahoo,Never Mind Teslas Earnings. Its Next Report Will Be All About the Cash.
11,tsla,Oct-16-19,10:10AM,https://www.marketwatch.com/story/tesla-is-about-to-show-investors-if-its-back-on-the-road-to-profitability-2019-10-16?siteid=yhoof2&yptr=yahoo,Tesla is about to show investors if its back on the road to profitability
12,tsla,Oct-16-19,09:53AM,https://finance.yahoo.com/news/chinas-auto-sales-still-free-135301145.html,China's Auto Sales Still in Free Fall: Any Recovery in Sight?
13,tsla,Oct-16-19,08:17AM,https://www.marketwatch.com/story/nios-stock-drops-after-report-that-talks-of-funding-for-a-new-factory-were-halted-2019-10-16?siteid=yhoof2&yptr=yahoo,Nio's stock drops after report that talks of funding for a new factory were halted
14,tsla,Oct-15-19,06:00PM,https://www.bizjournals.com/sanjose/news/2019/10/15/tesla-model-x-easter-eggs.html?ana=yahoo&yptr=yahoo,Your car can do what? Tesla's secret 'Easter egg' features (Video)
15,tsla,Oct-15-19,02:54PM,https://www.marketwatch.com/story/momentum-investors-are-now-buying-shares-of-apple-amazon-and-netflix-2019-10-15?siteid=yhoof2&yptr=yahoo,"Momentum investors are now buying shares of Apple, Amazon and Netflix"
16,tsla,Oct-15-19,11:17AM,https://finance.yahoo.com/news/electric-bike-sharing-startup-wheels-151731125.html,Electric bike-sharing startup Wheels raises $50 mln in latest funding round
17,tsla,Oct-15-19,10:38AM,https://finance.yahoo.com/news/companies-to-watch-aapl-gs-pcg-tsla-hog-143826814.html,"Apple, Goldman Sachs, PG&E, Tesla, Harley-Davidson, Saks: Companies to Watch"
18,tsla,Oct-15-19,10:22AM,https://finance.yahoo.com/news/ignore-crowd-avoid-shopify-stock-142233073.html,Ignore the Crowd and Avoid Shopify Stock
19,tsla,Oct-15-19,10:16AM,https://www.barrons.com/articles/tesla-stock-bulls-bears-trading-edge-51571089211?siteid=yhoof2&yptr=yahoo,"Tesla Sales Are Stagnating, a New Data Service Says. Will It Matter for the Stock?"
20,tsla,Oct-15-19,08:47AM,https://finance.yahoo.com/news/coinfield-open-30-000-stocks-124720163.html,"Coinfield to open up 30,000 stocks for crypto trading on Ripple's XRPL"
21,tsla,Oct-15-19,08:00AM,https://www.thestreet.com/video/what-investors-should-watch-when-tesla-reports-earnings-15125608?puc=yahoov&cm_ven=YAHOOV&yptr=yahoo,What Investors Should Watch When Tesla Reports Earnings
22,tsla,Oct-15-19,04:55AM,https://ca.finance.yahoo.com/news/tesla-start-powerwall-home-battery-085500056.html,Tesla to start Powerwall home battery installations in Japan
